RowIndex,Day,Hour,AcPwrt,DcVolt,Temper,Vl1to2,Vl2to3,Vl3to1,AcCur1,AcVlt1
1,1,0,2023335,,,424,37,482,478.5,0
2,1,1,2023335,,,424,37,481.80000000000001,478.30000000000001,0
3,1,2,2023335,,,424,37,480.60000000000002,476.80000000000001,0
4,1,3,2023335,,,424,37,481.5,479,0
5,1,4,2023335,,,424,37,481.39999999999998,478.19999999999999,0
6,1,5,2023335,,,424,37,481,478.10000000000002,0
7,1,6,2023335,,,424,37,481.60000000000002,479.30000000000001,0
8,1,7,2023335,,,424,37,480.39999999999998,478,0
9,1,8,2023335,,,424,37,481.80000000000001,479.10000000000002,0
10,1,9,2023335,,,424,37,481.19999999999999,478.5,0
11,1,10,2023335,,,424,37,482.10000000000002,478.69999999999999,0
12,1,11,2023335,,,424,37,481.30000000000001,478.10000000000002,0
13,1,12,2023335,,,424,37,481.10000000000002,478.39999999999998,0
14,1,13,2023335,,,424,37,482,478.60000000000002,0
15,1,14,2023335,,,424,37,482.89999999999998,480.19999999999999,0
16,1,15,2023335,,,424,37,481.80000000000001,479.39999999999998,0
17,1,16,2023335,,,424,37,483.10000000000002,480.5,0
18,1,17,2023335,,,424,37,483,480.89999999999998,0
19,1,18,2023335,,,424,37,482,479.19999999999999,0
20,1,19,2023335,,,424,37,482,479.39999999999998,0
